# x86 instruction set description version 0.2, 2023-07-17
# Based on Intel Instruction Set Reference #325383-080US, June 2023.
# https://golang.org/x/arch/x86/x86spec
"ADD r16, r/m16","ADDW r/m16, r16","addw r/m16, r16","03 /r","V","V","","operand16","","Y","16"
"ADD r32, r/m32","ADDL r/m32, r32","addl r/m32, r32","03 /r","V","V","","operand32","","Y","32"
"ADD r64, r/m64","ADDQ r/m64, r64","addq r/m64, r64","REX.W 03 /r","N.E.","V","","","","Y","64"
"ADD r8, r/m8","ADDB r/m8, r8","addb r/m8, r8","02 /r","V","V","","","","Y","8"
"ADD r8, r/m8","ADDB r/m8, r8","addb r/m8, r8","REX 02 /r","N.E.","V","","pseudo64","","Y","8"
"ADDPD xmm1, xmm2/m128","ADDPD xmm2/m128, xmm1","addpd xmm2/m128, xmm1","66 0F 58 /r","V","V","SSE2","","","",""
"ADDPS xmm1, xmm2/m128","ADDPS xmm2/m128, xmm1","addps xmm2/m128, xmm1","NP 0F 58 /r","V","V","SSE","","","",""
"ADDSD xmm1, xmm2/m64","ADDSD xmm2/m64, xmm1","addsd xmm2/m64, xmm1","F2 0F 58 /r","V","V","SSE2","","","",""
"ADDSS xmm1, xmm2/m32","ADDSS xmm2/m32, xmm1","addss xmm2/m32, xmm1","F3 0F 58 /r","V","V","SSE","","","",""
"ADDSUBPD xmm1, xmm2/m128","ADDSUBPD xmm2/m128, xmm1","addsubpd xmm2/m128, xmm1","66 0F D0 /r","V","V","SSE3","","","",""
"ADDSUBPS xmm1, xmm2/m128","ADDSUBPS xmm2/m128, xmm1","addsubps xmm2/m128, xmm1","F2 0F D0 /r","V","V","SSE3","","","",""
"ADOX r32, r/m32","ADOXL r/m32, r32","adoxl r/m32, r32","F3 0F 38 F6 /r","V","V","ADX","operand16,operand32","","Y","32"
"ADOX r64, r/m64","ADOXQ r/m64, r64","adoxq r/m64, r64","F3 REX.W 0F 38 F6 /r","N.E.","V","ADX","","","Y","64"
"AESDEC xmm1, xmm2/m128","AESDEC xmm2/m128, xmm1","aesdec xmm2/m128, xmm1","66 0F 38 DE /r","V","V","AES","","","",""
"AESDEC128KL xmm, m384","AESDEC128KL m384, xmm","aesdec128kl m384, xmm","F3 0F 38 DD !(11):rrr:bbb","V","V","AESKLE","","","",""
"AESDEC256KL xmm, m512","AESDEC256KL m512, xmm","aesdec256kl m512, xmm","F3 0F 38 DF !(11):rrr:bbb","V","V","AESKLE","","","",""
"AESDECLAST xmm1, xmm2/m128","AESDECLAST xmm2/m128, xmm1","aesdeclast xmm2/m128, xmm1","66 0F 38 DF /r","V","V","AES","","","",""
"AESDECWIDE128KL m384, <XMM0-7>","AESDECWIDE128KL <XMM0-7>, m384","aesdecwide128kl <XMM0-7>, m384","F3 0F 38 D8 !(11):001:bbb","V","V","AESKLEWIDE_KL","","","",""
"AESDECWIDE256KL m512, <XMM0-7>","AESDECWIDE256KL <XMM0-7>, m512","aesdecwide256kl <XMM0-7>, m512","F3 0F 38 D8 !(11):011:bbb","V","V","AESKLEWIDE_KL","","","",""
"AESENC xmm1, xmm2/m128","AESENC xmm2/m128, xmm1","aesenc xmm2/m128, xmm1","66 0F 38 DC /r","V","V","AES","","","",""
"AESENC128KL xmm, m384","AESENC128KL m384, xmm","aesenc128kl m384, xmm","F3 0F 38 DC !(11):rrr:bbb","V","V","AESKLE","","","",""
"AESENC256KL xmm, m512","AESENC256KL m512, xmm","aesenc256kl m512, xmm","F3 0F 38 DE !(11):rrr:bbb","V","V","AESKLE","","","",""
"AESENCLAST xmm1, xmm2/m128","AESENCLAST xmm2/m128, xmm1","aesenclast xmm2/m128, xmm1","66 0F 38 DD /r","V","V","AES","","","",""
"AESENCWIDE128KL m384, <XMM0-7>","AESENCWIDE128KL <XMM0-7>, m384","aesencwide128kl <XMM0-7>, m384","F3 0F 38 D8 !(11):000:bbb","V","V","AESKLE WIDE_KL","","","",""
"AESENCWIDE256KL m512, <XMM0-7>","AESENCWIDE256KL <XMM0-7>, m512","aesencwide256kl <XMM0-7>, m512","F3 0F 38 D8 !(11):010:bbb","V","V","AESKLE WIDE_KL","","","",""
"AESIMC xmm1, xmm2/m128","AESIMC xmm2/m128, xmm1","aesimc xmm2/m128, xmm1","66 0F 38 DB /r","V","V","AES","","","",""
"AESKEYGENASSIST xmm1, xmm2/m128, imm8","AESKEYGENASSIST imm8, xmm2/m128, xmm1","aeskeygenassist imm8, xmm2/m128, xmm1","66 0F 3A DF /r ib","V","V","AES","","","",""
"AND AL, imm8","ANDB imm8, AL","andb imm8, AL","24 ib","V","V","","","","Y","8"
"AND AX, imm16","ANDW imm16, AX","andw imm16, AX","25 iw","V","V","","operand16","","Y","16"
"AND EAX, imm32","ANDL imm32, EAX","andl imm32, EAX","25 id","V","V","","operand32","","Y","32"
"AND RAX, imm32","ANDQ imm32, RAX","andq imm32, RAX","REX.W 25 id","N.E.","V","","","","Y","64"
"AND r/m16, imm16","ANDW imm16, r/m16","andw imm16, r/m16","81 /4 iw","V","V","","operand16","","Y","16"
"AND r/m16, imm8","ANDW imm8, r/m16","andw imm8, r/m16","83 /4 ib","V","V","","operand16","","Y","16"
"AND r/m16, r16","ANDW r16, r/m16","andw r16, r/m16","21 /r","V","V","","operand16","","Y","16"
"AND r/m32, imm32","ANDL imm32, r/m32","andl imm32, r/m32","81 /4 id","V","V","","operand32","","Y","32"
"AND r/m32, imm8","ANDL imm8, r/m32","andl imm8, r/m32","83 /4 ib","V","V","","operand32","","Y","32"
"AND r/m32, r32","ANDL r32, r/m32","andl r32, r/m32","21 /r","V","V","","operand32","","Y","32"
"AND r/m64, imm32","ANDQ imm32, r/m64","andq imm32, r/m64","REX.W 81 /4 id","N.E.","V","","","","Y","64"
"AND r/m64, imm8","ANDQ imm8, r/m64","andq imm8, r/m64","REX.W 83 /4 ib","N.E.","V","","","","Y","64"
"AND r/m64, r64","ANDQ r64, r/m64","andq r64, r/m64","REX.W 21 /r","N.E.","V","","","","Y","64"
"AND r/m8, imm8","ANDB imm8, r/m8","andb imm8, r/m8","80 /4 ib","V","V","","","","Y","8"
"AND r/m8, imm8","ANDB imm8, r/m8","andb imm8, r/m8","REX 80 /4 ib","N.E.","V","","pseudo64","","Y","8"
"AND r/m8, r8","ANDB r8, r/m8","andb r8, r/m8","20 /r","V","V","","","","Y","8"
"AND r/m8, r8","ANDB r8, r/m8","andb r8, r/m8","REX 20 /r","N.E.","V","","pseudo64","","Y","8"
"AND r16, r/m16","ANDW r/m16, r16","andw r/m16, r16","23 /r","V","V","","operand16","","Y","16"
"AND r32, r/m32","ANDL r/m32, r32","andl r/m32, r32","23 /r","V","V","","operand32","","Y","32"
"AND r64, r/m64","ANDQ r/m64, r64","andq r/m64, r64","REX.W 23 /r","N.E.","V","","","","Y","64"
"AND r8, r/m8","ANDB r/m8, r8","andb r/m8, r8","22 /r","V","V","","","","Y","8"
